name	taxonomy_id	taxonomy_lv	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT21	H_TT20	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Lactobacillus iners	147802	S	1166586	871	1022	70	524	1036394	119660	2216461	8978161	616	402	436497	954101	675	1875519	788813	1056704	503661	9470	855	7291334	1673	90	826038	730227	121740	3860947	821	565	612	125430	13473	3725	1909885	182905	190295	145	662	115	753	3067191	130	1591	121	408469	290644	5977	11003	166	230	478	1895	152	6528927	254	5191	38118	118451	960066	818953	566	101679	357	5237781	208	45150	1451933	366153	89	3387159	306809	1050612	1204401	518371	1992	3584974	22446	40148	805174	40962	11070	811615	7049	5082	7864289	108
Lactobacillus crispatus	47770	S	269605	794	1199405	1338	36969	1888495	202460	1585844	1148160	1478040	3217188	296244	56914	507	409137	668116	280710	762537	4849	406136	14040	234117	395	114012	406577	541481	1239813	2999300	2516	18682	1980405	388150	278906	1493901	647035	391197	572692	2224555	531002	2816491	1930087	1005801	156652	149815	93706	1349723	4739	178703	3245	2905	3845912	1494	1845901	4197	1251	1952357	1000915	230	1309734	2167	1376455	37390	2538807	13196	403408	188	2007	901	1513	828066	128629	3375	2666	143192	8973	3608	4476560	1318002	3583242	721437	2528906	2533333	2254335	2735510	45047	319611
Lactobacillus delbrueckii	1584	S	2648	104	4078	89	63	9627	1189	4449	19312	2451	4101	588	729	1862	2092	1652	1846	1400	68	462	8023	366	350	539	986	2027	6793	15474	857	166	8405	1161	805	5359	2197	862	833	1389	2033	3135	24364	1183	369	184	358	4589	781	355	150	797	6799	8869	2380	5172	745	3662	1471	293	2995	795	2644	15525	6413	6282	931	272	1295	1619	68	5870	934	1599	1759	857	4998	4363	9468	3569	8301	2192	10965	8531	2463	7181	3679	362
Lactobacillus acidophilus	1579	S	19485	0	47289	0	636	51975	9760	43635	213636	58214	101147	18554	15062	122	35386	14821	17480	30950	0	4629	295432	5741	1390	14414	28212	16443	45396	96194	5659	440	59350	8987	3995	53826	16920	9802	8393	35301	10780	64666	80726	13400	3806	1844	9087	40564	13396	3290	6781	13121	87398	1839	20736	194964	988	48914	11713	7697	40505	18673	28677	257715	32512	135435	11585	1143	25689	8332	2006	72275	5429	23920	14440	5533	41168	74535	75622	46171	68312	19305	70101	65777	30421	51980	253365	5889
Lactobacillus jensenii	109790	S	371	118	118435	8	1858	177278	7300	195743	100921	230102	538	30121	54018	18	10110	42216	147	407292	946	65754	944	29	259323	84231	603178	198881	712	147568	176	2568	140	229870	2189	869930	14566	842	499	41151	32	158	196080	33877	4776	9	52845	170	420	13086	69	46	232	69	230	519	40	386	34	45	7424	125	157	2967	143	206570	75	12	154	208	176552	361972	29951	324	274	119	1935	297	157044	21966	251	68835	30734	97775	31481	66223	439	29
Lactobacillus helveticus	1587	S	6136	48	33223	16	79	45708	797	10053	25122	7821	19189	2764	13925	14	5220	8870	4057	6011	229	1276	9945	3439	577	591	2036	3514	54204	74465	1732	594	30164	3700	402	28821	11350	41256	5083	12076	8066	17905	30881	9053	2288	1578	2008	11737	2071	401	668	350519	574147	255	7902	8613	1147	24675	4915	7057	10042	540	9556	19103	22709	12699	4767	2286	7934	568	104	15537	6521	1624	3161	1163	5207	18404	34350	22283	28039	10909	36575	31863	16691	28247	16477	2072
Lactobacillus sp. ESL0785	2983232	S	161	0	422	0	0	373	86	266	612	366	504	149	139	0	141	168	123	274	0	31	207	113	16	61	196	134	506	689	230	0	324	98	38	546	98	23	61	250	113	350	711	160	33	29	28	336	102	18	90	204	849	47	277	783	124	308	107	92	130	142	262	3379	732	264	121	0	100	35	0	370	54	3731	147	79	518	1358	822	280	483	115	962	1020	280	506	931	73
Lactobacillus sp. IBH004	2879107	S	16	0	318	0	0	265	0	213	343	104	151	33	25	0	76	22	53	47	0	30	157	40	28	32	87	80	207	504	65	0	249	101	52	435	116	185	12	102	64	109	357	94	14	27	19	213	71	0	59	9	525	17	91	77	0	183	34	10	149	0	221	1179	200	756	49	0	56	0	34	292	0	277	0	30	256	100	695	240	1830	157	80	1253	155	549	141	9
Lactobacillus sp. PV034	2594495	S	9	0	28	0	0	2863	0	65	620	27	33	21	490	0	306	579	26	2942	0	23	471	0	3116	26	4377	14	197	2600	133	0	37	17	0	7558	24	9	11	7	21	19	2705	16	25	0	12	79	128	0	41	0	84	50	16	162	116	23	0	23	75	32	42	1929	39	1952	10	0	87	31	70	6262	29	4475	111	21	295	504	38	41	79	6	534	1761	27	41	136	0
Lactobacillus johnsonii	33959	S	559	0	481	0	0	1185	67	1363	5811	476	851	176	970	0	4103	621	858	397	0	61	4423	128	51	421	361	266	2335	1167	1038	0	902	123	133	2231	239	123	218	794	217	1387	2231	467	68	78	199	660	1693	54	524	229	1271	801	484	5329	412	407	581	197	1230	793	524	48552	658	6077	139	0	1930	214	40	4527	183	1169	1176	229	2879	3474	1250	870	1330	268	1154	1675	811	895	8182	100
Lactobacillus amylovorus	1604	S	102	0	347	0	0	492	342	232	420	2143	683	89	119	0	525	181	172	236	0	91	652	32	22	95	235	545	524	955	36	12	1820	1398	124	1177	594	31	131	344	103	6502	379	592	0	46	112	604	15	0	0	834	488	0	2082	274	33	387	166	0	251	176	286	1075	435	743	61	0	264	45	0	387	75	0	0	28	146	448	1104	209	635	243	1196	971	265	664	478	41
Lactobacillus acetotolerans	1600	S	33	0	221	0	0	178	54	185	325	180	382	53	23	0	133	36	48	74	0	55	162	18	18	43	92	50	174	251	32	0	160	30	6	483	101	33	62	145	42	515	6703	95	9	17	12	112	36	45	0	77	385	26	4601	234	0	192	110	360	120	11	133	4660	171	104	869	13	53	0	6	334	16	99	23	9	101	122	342	157	302	733	699	184	154	177	326	10
Lactobacillus panisapium	2012495	S	21	0	84	0	0	71	13	89	254	75	170	20	30	0	57	47	34	22	0	5	175	0	24	25	33	13	145	190	27	0	84	17	5	313	26	14	16	64	13	132	130	28	0	9	18	80	46	7	8	16	129	398	239	139	0	79	21	18	61	17	45	835	96	203	16	0	33	14	0	102	10	10	27	9	115	68	142	51	148	30	137	130	70	145	158	6
Lactobacillus gasseri	1596	S	110	0	3072	19	0	2805	35	1954	1231	234	411	86	8482	0	563	314	200	6538	0	46	1258	192	31	278	9996	1517	652	1158	2296	0	227	58	27	2321	1760	150	84	84	42	318	268283	141	64	0	53	1326	503733	1966	238790	52705	497	213136	584	102965	27755	170	127	34123	2599	179	173	10921019	195	2492	3643	0	6912	304	342	137762	1113	478	568	76	1449791	1332	720	424	549	214	2218	1093	514	755	1295	36
