name	taxonomy_id	taxonomy_lvl	ERR12026990	ERR12026990	ERR12026997	ERR12027002	ERR12027006	ERR12027014	ERR12027016	ERR12027023	ERR12027028	ERR12027036	ERR12027040	ERR12027049	ERR12027058	ERR12027060	ERR12027062	ERR12027070	ERR12027080	ERR12027086	ERR12027089	ERR12027103	ERR12027112	ERR12027117	ERR12027120	ERR12027128	ERR12027134	ERR12027141	ERR12027142	ERR12027144	ERR12027147	ERR12027154	ERR12027158	ERR12027168	ERR12027172	ERR12027184	ERR12027193	ERR12027195	ERR12027201	ERR12027206	ERR12027212	ERR12027221	ERR12027225	ERR12027235	ERR12027243	ERR12027269	ERR12027274	ERR12027284	ERR12027286	ERR12027307	ERR12027314	ERR12027322	ERR12027324	ERR12027327	ERR12027340	ERR12027342	ERR12027347	ERR12027349	ERR12027353	ERR12027357	ERR12027359	ERR12027372	ERR12027380	ERR12027399	ERR12027404	ERR12027407	ERR12027412	ERR12027417	ERR12027421	ERR12027425	ERR12027433	ERR12027437	ERR12027442	ERR12027446	ERR12027451	ERR12027458	ERR12027461	ERR12027470	ERR12027472	ERR12027475	ERR12027483	ERR12027491	ERR12027497	ERR12027502	ERR12027516	ERR12027521	ERR12027532	ERR12027538	ERR12027544	ERR12027552	ERR12027555	ERR12027559	ERR12027562	ERR12027568	ERR12027572	ERR12027580	ERR12027594	ERR12027606	ERR12027606
Gardnerella vaginalis	2702	S	57133	57133	31503	89453	235	54	0	145	68	143	38865	1632	13690	15	0	38	20883	9144	1141	18879	10377	724	2682	24847	67	67	0	0	47691	52443	73540	233	0	104	813	0	777	2915	753	122	13781	23523	162188	10186	214	12	0	367	81	124	13	20	1452	19	128	5623	13790	6497	3915	130	6	544	154	26	68	17	43435	39565	50112	92366	265	182	0	1258	1824	152	1206	0	10	0	0	122166	9049	1595	0	9	14	6	21	19	15	0	0	0	0	0	0
Gardnerella piotii	2792977	S	1308	1308	219	1568	22	35	0	6	0	25	6960	240	2677	0	0	23	1830	963	141	1795	13960	337	1118	9988	0	0	0	0	402	596	698	19	0	56	77	0	22	103	34	20	169	431	2666	574	8	0	0	77	15	34	0	0	14	0	7	7681	19149	8795	5338	39	0	90	8	0	0	0	1009	895	1216	2380	37	0	0	1736	2502	121	1775	0	0	0	0	37696	3271	577	0	12	0	0	0	0	0	0	0	0	0	0	0
Gardnerella leopoldii	2792978	S	362	362	1086	461	78	0	0	40	15	20	95832	3347	34324	0	0	0	6582	2305	304	5357	367	20	53	544	0	0	0	0	10994	15745	17496	9	0	0	0	0	5	3025	736	95	3368	9213	66573	3667	0	0	0	77	13	48	0	0	9	0	53	42126	81363	40219	24006	48	0	358	8	0	0	0	18131	14920	20076	43493	0	31	0	228	207	24	132	0	0	0	0	104686	7275	1109	0	0	0	0	0	15	12	7	0	0	0	0	0
Gardnerella swidsinskii	2792979	S	201	201	7082	222	132	0	0	123	74	41	78175	2725	28464	8	0	27	37994	12527	1670	28988	399	17	82	679	0	0	0	0	39976	54702	61044	105	0	10	20	0	0	21145	5157	468	16856	45284	315025	12686	16	23	0	165	14	33	0	0	8	0	63	4639	8686	4320	2636	15	0	218	8	0	0	10	130161	105684	142606	301857	0	21	0	249	246	31	142	0	0	0	0	116165	8318	1215	0	6	0	6	16	11	32	0	0	0	0	0	0
Bifidobacterium adolescentis	1680	S	56	56	73954	0	124	2467	0	170	0	5012	106	3693	7	17	0	500	0	13	0	9	78	0	0	10	0	0	0	0	12	0	0	0	0	17	15	0	8936	22	0	4748	0	24	0	127	9	83	0	894	53920	14	0	0	56	0	135	0	38	0	0	472	0	2194	0	0	18	0	0	26	9	0	21	448	0	88	29	12087	0	0	0	119601	0	72	68	7981	0	13	17	0	21	0	0	20	0	0	0	0	0
Bifidobacterium longum	216816	S	27	27	35155	0	83	2113	0	139	0	2490	120	1266	65	15	0	427	2623	1139	152	1455	513	8	108	910	14	14	0	0	0	0	0	103	0	93	1330	338	2795	0	0	778	73	172	747	189	73	131	0	462	3149	182	0	0	1190	0	66	0	22	9	0	884	18	1640	7	0	63	0	26	55	204	127	0	294	0	42	17	4627	0	0	0	17931	0	252	67	646	0	9	38	0	8	0	0	98	0	0	0	0	0
Bifidobacterium bifidum	1681	S	31	31	14533	0	21	32	0	0	0	58	0	1422	0	0	0	0	0	0	0	16	728	0	0	35	0	0	0	0	0	0	0	7	0	0	8	0	27	0	0	5986	0	15	0	35	0	11	0	31	1655	0	0	0	11	0	17	0	0	0	0	0	0	36	0	0	0	0	1036	1195	854	1022	0	95	0	0	0	36	0	0	0	1894	0	106	0	32	0	0	0	0	0	0	0	68	0	0	0	0	0
Bifidobacterium catenulatum	1686	S	10	10	643	17	0	65	0	0	0	43	66	111	21	0	0	16	8	7	0	37	0	0	0	0	0	0	0	0	0	0	0	10	0	10	7	0	228	0	0	91	0	5	10	23	0	0	0	27	341	15	0	0	17	0	7	0	0	0	0	12	0	73	0	0	0	0	0	0	6	8	0	0	0	0	0	216	0	0	0	608	0	195	20	57	0	0	0	0	0	0	0	0	0	0	0	0	0
Fannyhessea vaginae	82135	S	26283	26283	1536	20579	155	35	0	21	21	17	70051	4963	29499	15	0	15	12669	9012	581	25345	2312	5	37	1289	5	5	0	0	4575	4760	7708	75	0	69	119	0	25	765	75	74	5420	10568	47980	7748	12	5	5	148	32	37	0	0	425	0	43	4789	9748	5357	2110	97	0	546	52	0	0	0	5601	5748	5904	8390	0	19	0	0	0	35	0	0	0	7	0	244320	21672	4229	0	0	0	0	36	25	30	0	0	0	0	0	0
Mobiluncus curtisii	2051	S	10660	10660	635	8463	4034	4073	17	41	0	120	15	214	0	111	0	86	146	609	14	3279	1086	9	0	1593	1476	1476	8	84	27	14	57	2674	0	523	3965	0	18994	29	0	246	221	301	0	2208	1350	894	178	3743	360	4822	147	0	856	0	23	0	0	0	0	190	0	427	312	7	72	0	14	42	36	35	217	190	0	68	7	203	0	28	7	10	0	3092	145	186	10	13	38	0	0	0	0	0	0	0	0	0	0
