name	taxonomy_id	taxonomy_lvl	NEG	NC	TT28	TT54	TT20	TT81	TT60	AM26	AM24	AM29	AM13	TT21	AM48	TT55	TT23
Cutibacterium acnes	1747	S	27370	97221	600806	6186	162788	235766	494569	3068	3947	929	9420	11712	20129	15490	266
Cutibacterium modestum	2559073	S	3487	156	596	14	95	323	1044	9	12	0	31	58	50	168	0
Cutibacterium granulosum	33011	S	292	909	5001	118	489	5479	14119	118	53	6	160	3299	372	439	8
Cutibacterium avidum	33010	S	39	139	6483	698	310	312	3245	5	0	32	108	94705	36	454	42
Propionibacterium freudenreichii	1744	S	56	40	89	0	24	37	63	0	0	0	257	461	0	0	0
Microlunatus sagamiharensis	546874	S	20	266	211	16	34	414	555	0	0	0	295	9	93	0	0
Microlunatus elymi	2596828	S	11	12	16	0	0	13	45	0	0	0	174	0	9	0	0
Tessaracoccus flavescens	399497	S	11	34	48	0	7	13	80	0	0	0	135	21	17	11	0
Tessaracoccus sp. MC1865	2760310	S	5	8	14	0	14	15	49	0	0	0	126	0	0	0	0
Propioniciclava coleopterorum	2714937	S	6	0	41	0	0	28	39	0	0	0	514	0	6	0	0
Propioniciclava sp. MC1595	2760308	S	5	20	43	11	7	16	79	0	0	0	498	0	0	0	0
Nocardioides sp. S5	2017486	S	109	323	257	12	44	428	795	0	0	0	310	0	56	7	0
Nocardioides sp. zg-1228	2763008	S	43	108	125	0	14	187	436	0	6	0	86	0	23	0	0
Nocardioides sp. CF8	110319	S	36	66	57	0	0	125	211	0	0	0	47	0	0	0	0
Nocardioides sp. TF02-7	2917724	S	24	30	38	0	0	46	137	0	0	0	66	0	0	0	0
Nocardioides sp. LMS-CY	2840457	S	25	199	127	0	29	313	319	0	0	0	66	0	0	14	0
Nocardioides sp. JS614	196162	S	30	228	190	0	60	331	460	0	0	0	137	0	14	21	0
Nocardioides sp. S-1144	2582905	S	12	55	82	0	9	126	207	0	0	0	72	0	12	8	0
Nocardioides sp. B-3	2895565	S	11	26	33	0	0	40	133	0	0	0	39	0	6	0	0
Nocardioides sp. Arc9.136	2996826	S	10	96	72	0	18	134	204	0	0	0	53	0	17	0	0
Nocardioides sp. HDW12B	2714939	S	7	64	59	0	14	76	253	0	0	0	67	0	14	15	0
Nocardioides sp. cx-173	2898796	S	8	80	68	0	16	83	338	0	0	0	35	9	0	10	0
Nocardioides sp. BP30	3036374	S	7	31	30	0	0	19	103	0	0	0	60	0	0	0	0
Nocardioides sp. QY071	3044187	S	9	45	32	0	0	75	105	0	0	0	79	0	0	0	0
Nocardioides sp. JQ2195	2592334	S	6	25	31	0	13	42	63	0	0	0	24	0	0	0	0
Nocardioides aquaticus	160826	S	36	106	112	7	16	222	1765	0	0	0	82	15	29	0	0
Nocardioides okcheonensis	2894081	S	30	92	119	9	16	194	436	11	0	0	108	0	15	6	0
Nocardioides ungokensis	1643322	S	26	48	85	6	13	79	193	0	0	0	47	0	0	8	0
Nocardioides daphniae	402297	S	26	29	30	0	0	48	80	0	0	0	54	0	0	6	0
Nocardioides euryhalodurans	2518370	S	17	82	66	12	18	103	188	0	0	0	42	0	16	0	0
Nocardioides dongkuii	2760089	S	19	129	73	0	13	110	180	0	0	0	64	0	25	0	0
Nocardioides dokdonensis	450734	S	17	90	60	0	22	83	202	0	0	0	47	0	0	0	0
Nocardioides pantholopis	2483798	S	14	39	60	0	17	122	176	0	0	0	64	0	26	0	0
Nocardioides mesophilus	433659	S	12	51	31	0	6	65	145	0	0	0	75	0	20	0	0
Nocardioides ochotonae	2685869	S	16	41	42	0	9	70	128	0	12	0	37	0	18	0	0
Nocardioides panacis	2849501	S	8	58	42	7	5	52	208	0	0	0	48	0	45	11	0
Nocardioides marmotae	2663857	S	9	85	62	0	9	147	200	0	0	0	65	0	6	0	0
