H_TT1	H_TT2	H_TT3	H_TT5	H_TT7	H_TT11	H_TT12	H_TT16	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81	H_BP1	H_BP4	H_BP5	H_BP7
Lactobacillus iners	1895	152	6528927	5191	38118	566	101679	5237781	1451933	366153	89	3387159	306809	1204401	518371	1992	3584974	22446	40148	40962	11070	811615	7049	5082	7864289	108	290644	11003	166	478
Lactobacillus crispatus	1494	1845901	4197	1952357	1000915	1376455	37390	13196	2007	901	1513	828066	128629	2666	143192	8973	3608	4476560	1318002	721437	2528906	2533333	2254335	2735510	45047	319611	1349723	178703	3245	3845912
Lactobacillus delbrueckii	8869	2380	5172	3662	1471	2644	15525	6282	1295	1619	68	5870	934	1759	857	4998	4363	9468	3569	2192	10965	8531	2463	7181	3679	362	4589	355	150	6799
Lactobacillus acidophilus	1839	20736	194964	48914	11713	28677	257715	135435	25689	8332	2006	72275	5429	14440	5533	41168	74535	75622	46171	19305	70101	65777	30421	51980	253365	5889	40564	3290	6781	87398
Lactobacillus jensenii	69	230	519	386	34	157	2967	206570	154	208	176552	361972	29951	274	119	1935	297	157044	21966	68835	30734	97775	31481	66223	439	29	170	13086	69	232
Lactobacillus sp. ESL0785	47	277	783	308	107	262	3379	264	100	35	0	370	54	147	79	518	1358	822	280	115	962	1020	280	506	931	73	336	18	90	849
Lactobacillus sp. IBH004	17	91	77	183	34	221	1179	756	56	0	34	292	0	0	30	256	100	695	240	157	80	1253	155	549	141	9	213	0	59	525
Lactobacillus sp. PV034	50	16	162	23	0	42	1929	1952	87	31	70	6262	29	111	21	295	504	38	41	6	534	1761	27	41	136	0	79	0	41	84
Lactobacillus johnsonii	801	484	5329	407	581	524	48552	6077	1930	214	40	4527	183	1176	229	2879	3474	1250	870	268	1154	1675	811	895	8182	100	660	54	524	1271
Lactobacillus amylovorus	0	2082	274	387	166	286	1075	743	264	45	0	387	75	0	28	146	448	1104	209	243	1196	971	265	664	478	41	604	0	0	488
Lactobacillus acetotolerans	26	4601	234	192	110	133	4660	104	53	0	6	334	16	23	9	101	122	342	157	733	699	184	154	177	326	10	112	45	0	385
Lactobacillus panisapium	398	239	139	79	21	45	835	203	33	14	0	102	10	27	9	115	68	142	51	30	137	130	70	145	158	6	80	7	8	129
Lactobacillus gasseri	213136	584	102965	170	127	173	10921019	2492	6912	304	342	137762	1113	568	76	1449791	1332	720	424	214	2218	1093	514	755	1295	36	1326	1966	238790	497
Lactobacillus amylolyticus	12	576	110	154	64	124	728	211	67	37	0	310	19	73	21	57	159	415	107	86	315	204	135	416	82	16	212	19	0	257
Lactobacillus intestinalis	16	226	37	120	62	161	1008	393	11	36	0	178	55	0	8	110	0	310	129	70	795	371	96	335	47	20	108	13	16	292
Lactobacillus apis	7	56	22	63	18	33	264	69	7	0	0	83	0	7	0	29	31	82	62	23	82	105	48	103	26	8	47	0	6	151
Lactobacillus kefiranofaciens	22	3018	250	2405	646	1241	1843	1112	89	0	0	4700	0	303	896	262	420	4911	576	2519	9725	2066	343	5464	328	54	11839	57	0	2155
Limosilactobacillus portuensis	0	0	0	0	0	0	0	10095	0	0	0	19038	0	0	0	0	0	24	3202	0	10	0	2743	20720	0	0	0	0	0	63
Limosilactobacillus vaginalis	0	22	21	0	21	32	103	530	0	0	0	506	0	8	37	37	15	162	117	0	27	12	300	719	113	0	22	0	0	74
Limosilactobacillus reuteri	28	493	532	266	44	214	2641	679	1062	48	20	1031	93	62	417	8212	212	1747	539	541	673	403	598	1238	2258	103	400	237	605	8408
Limosilactobacillus panis	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	63	0	70	0	0	0	20	29	0	0	0	0	225
Lactiplantibacillus plantarum	132	422	1167	1118	392	853	7822	3189	1220	295	217	2294	209	518	417	1606	1635	2815	2315	689	3072	3709	914	1782	1995	139	1339	109	89	2792
Lactiplantibacillus pentosus	0	237	470	653	193	314	138	172	34	22	16	374	27	47	34	47	220	970	529	171	536	744	512	437	423	54	255	18	7	1093
Lactiplantibacillus paraplantarum	0	107	64	69	44	40	479	539	204	43	11	672	47	8	37	113	359	607	141	177	699	353	64	528	105	24	504	0	0	287
Ligilactobacillus salivarius	34	244	370	8669	166	296	1082	483	96	16	14	432	30	57	24	84	229	641	240	76	393	319	159	635	226	52	252	7	38	435
Ligilactobacillus ruminis	0	64	52	22	69	79	296	56	25	5	0	57	41	5	5	21	51	109	45	18	113	95	30	46	71	7	18	0	0	104
Lacticaseibacillus rhamnosus	0	28	95	100	68	81	103	204	79	0	0	95	9	24	13	27	68	160	71	46	123	171	79	101	151	0	99	32	0	242
Lacticaseibacillus sp. NCIMB 15474	0	407	0	991	189	462	0	0	0	0	0	323	0	0	0	0	0	1164	1654	276	1542	1658	986	382	0	92	271	0	0	2731
Lentilactobacillus buchneri	0	28	141	37	9	21	171	90	37	8	0	120	8	14	9	24	50	48	58	13	62	44	29	33	303	0	16	0	0	101
Fructilactobacillus lindneri	0	17	120	8	9	0	467	100	29	0	0	52	0	11	10	34	53	52	27	11	128	61	11	57	270	0	25	0	0	56
Latilactobacillus sakei	24	80	125	51	24	126	568	225	63	7	12	229	18	25	12	55	103	159	208	39	86	59	154	175	184	57	66	18	28	162
Amylolactobacillus amylophilus	41	45	79	63	26	55	1896	81	16	0	0	114	9	24	12	321	88	83	67	24	100	94	53	43	81	7	34	0	78	138
Acetilactobacillus jinshanensis	233	57	143	39	14	44	179	79	45	9	0	121	0	21	17	70	52	350	46	26	48	65	36	47	137	11	20	0	0	112
Loigolactobacillus coryniformis	0	26	0	35	0	12	182	0	0	0	0	54	0	0	0	0	0	86	34	84	21	158	27	0	0	0	0	0	27	257
Bombilactobacillus folatiphilus	0	14	33	54	31	0	278	233	0	0	0	15	0	0	0	0	25	66	29	28	79	128	41	31	47	0	9	0	0	29
