"";"Dominance";"Clusters"
"H_BP1";"Lactobacillus crispatus";"cl_1"
"H_BP4";"Lactobacillus crispatus";"cl_1"
"H_BP5";"Lactobacillus gasseri";"cl_2"
"H_BP7";"Lactobacillus crispatus";"cl_1"
"H_TT1";"Others";"cl_3"
"H_TT11";"Lactobacillus crispatus";"cl_1"
"H_TT12";"Lactobacillus gasseri";"cl_2"
"H_TT16";"Lactobacillus iners";"cl_4"
"H_TT2";"Lactobacillus crispatus";"cl_1"
"H_TT20";"Lactobacillus iners";"cl_4"
"H_TT21";"Lactobacillus iners";"cl_4"
"H_TT23";"Others";"cl_3"
"H_TT24";"Lactobacillus iners";"cl_4"
"H_TT28";"Others";"cl_3"
"H_TT3";"Lactobacillus iners";"cl_4"
"H_TT41";"Lactobacillus iners";"cl_4"
"H_TT5";"Lactobacillus crispatus";"cl_1"
"H_TT51";"Lactobacillus iners";"cl_4"
"H_TT52";"Others";"cl_2"
"H_TT54";"Lactobacillus iners";"cl_4"
"H_TT55";"Lactobacillus crispatus";"cl_1"
"H_TT56";"Others";"cl_1"
"H_TT60";"Lactobacillus crispatus";"cl_1"
"H_TT62";"Lactobacillus crispatus";"cl_1"
"H_TT65";"Lactobacillus crispatus";"cl_1"
"H_TT69";"Lactobacillus crispatus";"cl_1"
"H_TT7";"Lactobacillus crispatus";"cl_1"
"H_TT71";"Lactobacillus crispatus";"cl_1"
"H_TT74";"Lactobacillus iners";"cl_4"
"H_TT81";"Lactobacillus crispatus";"cl_1"
