sample_accession	run_accession	experiment_accession	study_accession	tax_id	scientific_name.x	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp	BioSample	Title	Organism	Comment	ENA-CHECKLIST	ENA-FIRST-PUBLIC	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Studygroup	Submitter Id	SwabSite	broad-scale environmental context	collection date	environmental medium	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	investigation type	local environmental context	project name	sample name	scientific_name.y	sequencing method	batch	site
SAMEA114325996	ERR12027014	ERX11410602	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/014/ERR12027014/ERR12027014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/014/ERR12027014/ERR12027014_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027014/AB1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027014/AB1_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/014/ERR12027014.bam	AB1	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AB1	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AB1	human metagenome	shotgun metagenomics	NA	other studies	anal
SAMEA114325997	ERR12026997	ERX11410585	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/097/ERR12026997/ERR12026997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/097/ERR12026997/ERR12026997_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12026997/AA2_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12026997/AA2_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/097/ERR12026997.bam	AA2	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AA2	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AA2	human metagenome	shotgun metagenomics	NA	other studies	anal
SAMEA114325998	ERR12027049	ERX11410637	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/049/ERR12027049/ERR12027049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/049/ERR12027049/ERR12027049_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027049/AD3_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027049/AD3_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/049/ERR12027049.bam	AD3	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AD3	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AD3	human metagenome	shotgun metagenomics	NA	other studies	anal
SAMEA114325999	ERR12027036	ERX11410624	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/036/ERR12027036/ERR12027036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/036/ERR12027036/ERR12027036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027036/AC4_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027036/AC4_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/036/ERR12027036.bam	AC4	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AC4	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AC4	human metagenome	shotgun metagenomics	NA	other studies	anal
SAMEA114326000	ERR12027070	ERX11410658	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/070/ERR12027070/ERR12027070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/070/ERR12027070/ERR12027070_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027070/AE5_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027070/AE5_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/070/ERR12027070.bam	AE5	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AE5	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AE5	human metagenome	shotgun metagenomics	NA	other studies	anal
SAMEA114326001	ERR12027184	ERX11410772	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/084/ERR12027184/ERR12027184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/084/ERR12027184/ERR12027184_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027184/AJ6_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027184/AJ6_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/084/ERR12027184.bam	AJ6	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AJ6	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AJ6	human metagenome	shotgun metagenomics	NA	other studies	anal
SAMEA114326002	ERR12027158	ERX11410746	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/058/ERR12027158/ERR12027158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/058/ERR12027158/ERR12027158_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027158/AI7_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027158/AI7_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/058/ERR12027158.bam	AI7	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AI7	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AI7	human metagenome	shotgun metagenomics	NA	other studies	anal
SAMEA114326003	ERR12027221	ERX11410809	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/021/ERR12027221/ERR12027221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/021/ERR12027221/ERR12027221_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027221/AL8_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027221/AL8_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/021/ERR12027221.bam	AL8	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AL8	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AL8	human metagenome	shotgun metagenomics	NA	other studies	anal
SAMEA114326004	ERR12027201	ERX11410789	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR12027201/ERR12027201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR12027201/ERR12027201_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027201/AK9_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027201/AK9_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/001/ERR12027201.bam	AK9	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AK9	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AK9	human metagenome	shotgun metagenomics	NA	other studies	anal
SAMEA114326005	ERR12027314	ERX11410902	PRJEB61325	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/014/ERR12027314/ERR12027314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/014/ERR12027314/ERR12027314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027314/AQ10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12027314/AQ10_R2.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/err/ERR120/014/ERR12027314.bam	AQ10	human metagenome	Anal microbiome of healthy participant	ERC000014	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	LUMC	Leiden University Medical Center	2023-10-25T00:23:39Z	2023-10-25T00:23:39Z	public	Healthy	AQ10	anal	anal	2021	human-associated	Netherlands	52.16667	4.469694	microbiome	human-associated	CHDR vulvar premalignancies	AQ10	human metagenome	shotgun metagenomics	NA	other studies	anal
