name,shared_name,Type,module
AAGAB,AAGAB,Gene,turquoise
AATF,AATF,Gene,turquoise
ABALON,ABALON,Gene,purple
ABCA1,ABCA1,Gene,turquoise
ABCD1,ABCD1,Gene,turquoise
ABHD2,ABHD2,Gene,turquoise
ABHD8,ABHD8,Gene,grey
ABL2,ABL2,Gene,green
ABR,ABR,Gene,brown
ABRAXAS2,ABRAXAS2,Gene,blue
AC002350.2,AC002350.2,Gene,red
AC003991.1,AC003991.1,Gene,brown
AC004882.3,AC004882.3,Gene,turquoise
AC005037.1,AC005037.1,Gene,green
AC005091.1,AC005091.1,Gene,blue
AC005261.1,AC005261.1,Gene,purple
AC005264.1,AC005264.1,Gene,brown
AC005606.1,AC005606.1,Gene,pink
AC005606.2,AC005606.2,Gene,pink
AC005722.4,AC005722.4,Gene,pink
AC007292.2,AC007292.2,Gene,black
AC007622.2,AC007622.2,Gene,yellow
AC008114.1,AC008114.1,Gene,blue
AC008750.3,AC008750.3,Gene,greenyellow
AC008750.4,AC008750.4,Gene,yellow
AC008761.1,AC008761.1,Gene,grey
AC008875.3,AC008875.3,Gene,grey
AC008894.2,AC008894.2,Gene,turquoise
AC008914.1,AC008914.1,Gene,black
AC009088.3,AC009088.3,Gene,red
AC010168.2,AC010168.2,Gene,brown
AC010969.1,AC010969.1,Gene,yellow
AC011346.1,AC011346.1,Gene,black
AC011445.2,AC011445.2,Gene,turquoise
AC011446.2,AC011446.2,Gene,grey
AC011462.2,AC011462.2,Gene,grey
AC012613.2,AC012613.2,Gene,black
AC015712.2,AC015712.2,Gene,brown
AC015912.1,AC015912.1,Gene,turquoise
AC016588.1,AC016588.1,Gene,red
AC016876.1,AC016876.1,Gene,black
AC020656.1,AC020656.1,Gene,turquoise
AC020659.2,AC020659.2,Gene,pink
AC021078.1,AC021078.1,Gene,grey
AC021739.2,AC021739.2,Gene,purple
AC022150.4,AC022150.4,Gene,greenyellow
AC022400.5,AC022400.5,Gene,grey
AC023157.3,AC023157.3,Gene,black
AC024267.6,AC024267.6,Gene,yellow
AC024592.2,AC024592.2,Gene,turquoise
AC026333.3,AC026333.3,Gene,turquoise
AC026954.3,AC026954.3,Gene,purple
AC027290.1,AC027290.1,Gene,red
AC027290.2,AC027290.2,Gene,greenyellow
AC067930.4,AC067930.4,Gene,red
AC068580.3,AC068580.3,Gene,yellow
AC068831.4,AC068831.4,Gene,turquoise
AC073957.3,AC073957.3,Gene,brown
AC074033.1,AC074033.1,Gene,yellow
AC083798.2,AC083798.2,Gene,yellow
AC083799.1,AC083799.1,Gene,turquoise
AC087190.3,AC087190.3,Gene,turquoise
AC087284.1,AC087284.1,Gene,grey
AC090559.1,AC090559.1,Gene,turquoise
AC090607.4,AC090607.4,Gene,brown
AC090617.3,AC090617.3,Gene,red
AC090971.2,AC090971.2,Gene,brown
AC091117.1,AC091117.1,Gene,yellow
AC092069.1,AC092069.1,Gene,purple
AC092118.1,AC092118.1,Gene,yellow
AC093503.2,AC093503.2,Gene,turquoise
AC099494.2,AC099494.2,Gene,magenta
AC100788.2,AC100788.2,Gene,greenyellow
AC103563.2,AC103563.2,Gene,purple
AC103691.1,AC103691.1,Gene,yellow
AC104794.5,AC104794.5,Gene,green
AC105020.1,AC105020.1,Gene,purple
AC108134.1,AC108134.1,Gene,blue
AC113208.4,AC113208.4,Gene,turquoise
AC127496.6,AC127496.6,Gene,grey
AC132872.3,AC132872.3,Gene,blue
AC133550.2,AC133550.2,Gene,grey
AC135050.6,AC135050.6,Gene,brown
AC139887.2,AC139887.2,Gene,brown
AC245140.2,AC245140.2,Gene,pink
AC254629.1,AC254629.1,Gene,blue
ACAD8,ACAD8,Gene,pink
ACADVL,ACADVL,Gene,red
ACAP2,ACAP2,Gene,magenta
ACBD3,ACBD3,Gene,brown
ACBD6,ACBD6,Gene,yellow
ACOT11,ACOT11,Gene,brown
ACOT4,ACOT4,Gene,green
ACOT9,ACOT9,Gene,turquoise
ACSL3,ACSL3,Gene,turquoise
ACTBP11,ACTBP11,Gene,green
ACTR1A,ACTR1A,Gene,turquoise
ACVR2A,ACVR2A,Gene,grey
ADAM10,ADAM10,Gene,turquoise
ADAM17,ADAM17,Gene,grey
ADAM9,ADAM9,Gene,greenyellow
ADCY7,ADCY7,Gene,turquoise
ADGRE5,ADGRE5,Gene,turquoise
ADGRF1,ADGRF1,Gene,brown
ADIPOR1,ADIPOR1,Gene,turquoise
ADNP,ADNP,Gene,yellow
ADORA2A-AS1,ADORA2A-AS1,Gene,turquoise
ADRM1,ADRM1,Gene,black
AFTPH,AFTPH,Gene,blue
AGAP2,AGAP2,Gene,turquoise
AGAP3,AGAP3,Gene,turquoise
AGO1,AGO1,Gene,tan
AGO2,AGO2,Gene,turquoise
AGO4,AGO4,Gene,turquoise
AGPAT2,AGPAT2,Gene,pink
AGTPBP1,AGTPBP1,Gene,turquoise
AGTRAP,AGTRAP,Gene,turquoise
AHNAK,AHNAK,Gene,greenyellow
AHSA1,AHSA1,Gene,brown
AIF1L,AIF1L,Gene,green
AIFM2,AIFM2,Gene,black
AK1,AK1,Gene,purple
AK3,AK3,Gene,turquoise
AKAP10,AKAP10,Gene,brown
AKAP13,AKAP13,Gene,black
AKIRIN2,AKIRIN2,Gene,black
AL031714.1,AL031714.1,Gene,turquoise
AL033384.1,AL033384.1,Gene,brown
AL035661.1,AL035661.1,Gene,yellow
AL109628.2,AL109628.2,Gene,yellow
AL121761.1,AL121761.1,Gene,green
AL121985.1,AL121985.1,Gene,turquoise
AL132857.1,AL132857.1,Gene,green
AL136982.5,AL136982.5,Gene,green
AL138767.1,AL138767.1,Gene,greenyellow
AL139393.2,AL139393.2,Gene,blue
AL139423.1,AL139423.1,Gene,grey
AL157935.1,AL157935.1,Gene,red
AL162742.1,AL162742.1,Gene,yellow
AL355075.3,AL355075.3,Gene,turquoise
AL356123.2,AL356123.2,Gene,brown
AL356356.1,AL356356.1,Gene,turquoise
AL356867.1,AL356867.1,Gene,brown
AL357153.1,AL357153.1,Gene,grey
AL390719.1,AL390719.1,Gene,magenta
AL391056.2,AL391056.2,Gene,turquoise
AL391863.1,AL391863.1,Gene,greenyellow
AL450467.1,AL450467.1,Gene,grey
AL512791.1,AL512791.1,Gene,black
AL583722.2,AL583722.2,Gene,turquoise
AL590714.1,AL590714.1,Gene,blue
AL592166.1,AL592166.1,Gene,blue
AL732437.1,AL732437.1,Gene,brown
ALDH3A1,ALDH3A1,Gene,pink
ALDH3A2,ALDH3A2,Gene,pink
ALDOA,ALDOA,Gene,blue
ALKBH5,ALKBH5,Gene,yellow
ALOX12,ALOX12,Gene,green
ALOX12-AS1,ALOX12-AS1,Gene,green
AMFR,AMFR,Gene,green
ANAPC16,ANAPC16,Gene,turquoise
ANKRD17,ANKRD17,Gene,pink
ANKRD28,ANKRD28,Gene,brown
ANKRD31,ANKRD31,Gene,yellow
ANKRD37,ANKRD37,Gene,purple
ANKRD44,ANKRD44,Gene,turquoise
ANKRD52,ANKRD52,Gene,greenyellow
ANKZF1,ANKZF1,Gene,grey
ANO10,ANO10,Gene,grey
ANO7L1,ANO7L1,Gene,red
ANO8,ANO8,Gene,yellow
ANP32A,ANP32A,Gene,turquoise
ANXA6,ANXA6,Gene,grey
ANXA9,ANXA9,Gene,grey
AP000919.2,AP000919.2,Gene,greenyellow
AP001107.1,AP001107.1,Gene,yellow
AP001453.1,AP001453.1,Gene,yellow
AP001610.3,AP001610.3,Gene,blue
AP002490.1,AP002490.1,Gene,blue
AP003733.3,AP003733.3,Gene,yellow
AP006621.1,AP006621.1,Gene,purple
AP1G1,AP1G1,Gene,black
AP1G2,AP1G2,Gene,turquoise
AP2B1,AP2B1,Gene,turquoise
AP3D1,AP3D1,Gene,blue
AP3M1,AP3M1,Gene,yellow
AP4M1,AP4M1,Gene,yellow
AP5B1,AP5B1,Gene,turquoise
APBB3,APBB3,Gene,blue
APC,APC,Gene,greenyellow
APLP2,APLP2,Gene,turquoise
APOBEC3A,APOBEC3A,Gene,turquoise
APOBEC3C,APOBEC3C,Gene,brown
APOL1,APOL1,Gene,turquoise
APOL2,APOL2,Gene,turquoise
ARCN1,ARCN1,Gene,brown
AREG,AREG,Gene,black
ARF1,ARF1,Gene,turquoise
ARF5,ARF5,Gene,turquoise
ARF6,ARF6,Gene,grey
ARFGAP1,ARFGAP1,Gene,brown
ARFGAP2,ARFGAP2,Gene,red
ARFGEF1,ARFGEF1,Gene,greenyellow
ARFIP1,ARFIP1,Gene,blue
ARFIP2,ARFIP2,Gene,blue
ARGLU1,ARGLU1,Gene,grey
ARHGAP10,ARHGAP10,Gene,red
ARHGAP17,ARHGAP17,Gene,tan
ARHGAP27P1-BPTFP1-KPNA2P3,ARHGAP27P1-BPTFP1-KPNA2P3,Gene,yellow
ARHGAP35,ARHGAP35,Gene,green
ARHGAP45,ARHGAP45,Gene,turquoise
ARHGAP5,ARHGAP5,Gene,magenta
ARHGDIB,ARHGDIB,Gene,turquoise
ARHGEF1,ARHGEF1,Gene,turquoise
ARHGEF12,ARHGEF12,Gene,grey
ARHGEF19,ARHGEF19,Gene,brown
ARID1B,ARID1B,Gene,grey
ARID4B,ARID4B,Gene,yellow
ARL6IP1,ARL6IP1,Gene,magenta
ARMH3,ARMH3,Gene,grey
ARNT,ARNT,Gene,magenta
ARNTL2,ARNTL2,Gene,red
ARNTL2-AS1,ARNTL2-AS1,Gene,yellow
ARPC2,ARPC2,Gene,turquoise
ARPC4,ARPC4,Gene,turquoise
ARPP19,ARPP19,Gene,turquoise
ARRDC1,ARRDC1,Gene,red
ARRDC3,ARRDC3,Gene,blue
ASB6,ASB6,Gene,turquoise
ASCC2,ASCC2,Gene,pink
ASCC3,ASCC3,Gene,grey
ASCL2,ASCL2,Gene,turquoise
ASH2L,ASH2L,Gene,pink
ASPH,ASPH,Gene,turquoise
ASPRV1,ASPRV1,Gene,grey
ASS1,ASS1,Gene,brown
ASXL2,ASXL2,Gene,yellow
ATAD1,ATAD1,Gene,brown
ATAD3C,ATAD3C,Gene,blue
ATF7,ATF7,Gene,yellow
ATG4A,ATG4A,Gene,brown
ATP13A1,ATP13A1,Gene,grey
ATP13A3,ATP13A3,Gene,turquoise
ATP1B1,ATP1B1,Gene,brown
