"H_TT1"	"H_TT2"	"H_TT3"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"H_TT81"	"H_BP1"	"H_BP4"	"H_BP5"	"H_BP7"
"Lactobacillus iners"	0.00269526827519898	7.28398084888088e-05	0.911091466009866	0.00217446215468213	0.0336308092727794	0.000361167477060122	0.00639443311579176	0.836414820970521	0.662678382364918	0.668498676983753	6.75163101198604e-05	0.558511425037583	0.200934040816968	0.916920689928193	0.68930938877549	0.00063116630788622	0.748088343926981	0.00436846863240619	0.0106714099880868	0.0353499177567706	0.00249533336594323	0.179418615730053	0.00226067808797113	0.00142695610495456	0.926256159306436	0.000245420521245918	0.140676305681185	0.0335316238899487	0.000383728080111327	8.68533626333213e-05
"Lactobacillus crispatus"	0.00212492390667402	0.884572864008557	0.000585678302551615	0.81782439008452	0.883088867812162	0.878322932220478	0.0023513985601693	0.00210725304809938	0.00163066593066503	0.000924062504748079	0.00114777727203763	0.136540481768104	0.0842411556904973	0.0020296483972934	0.190411095523361	0.0028431000404935	0.000752893255261697	0.871233713850319	0.350327281735537	0.622595054359927	0.570050905251493	0.560027968979457	0.722985634479558	0.768093800602961	0.00530563681068651	0.726287946443788	0.653287338919522	0.544597090248615	0.00750119048169432	0.698808346426448
"Lactobacillus delbrueckii"	0.0126144244499946	0.00114051805396951	0.000721736521514642	0.00153397811798227	0.00129783620442464	0.00168714983983562	0.000976342943210172	0.00100316487179147	0.00293013112291529	0.000596243619157331	5.15854953724776e-05	0.000967909113499133	0.000611691293681242	0.00133914160946702	0.00113960492809319	0.00158361907972657	0.000910441594430927	0.00184267401816011	0.000948646563900609	0.00189168057523659	0.00247166489228252	0.00188589443368233	0.000789906388235622	0.00201632660166838	0.000433312713976861	0.000822613228620578	0.00222114878260331	0.00108186189956665	0.000346742241064452	0.00123538914758149
"Lactobacillus acidophilus"	0.00261561918632767	0.00993688334752591	0.0272066201045206	0.0204896247031635	0.010334164148488	0.0182989394693518	0.0162072928572888	0.0216274489670612	0.0150795877184251	0.0118277238089055	0.00152177211348809	0.0119174840167206	0.00355553750898872	0.0109932943949425	0.00735756600599722	0.0130441036963152	0.0155534641854021	0.0147176483524824	0.0122723341277263	0.0166600791537146	0.0158017492579933	0.0145409070641569	0.00975628998640514	0.0145952731868434	0.029841336171989	0.0133822356446038	0.019633619354439	0.0100262694354205	0.0156750609110537	0.0158803560406423
"Lactobacillus jensenii"	9.8139055930728e-05	0.000110218131265961	7.24248365557036e-05	0.000161691849683549	2.99975737256545e-05	0.000100182498053779	0.000186589984702388	0.0329869098322134	0.000376446740930439	7.09046466024934e-05	0.133934152632377	0.059685859903153	0.0196153810889153	0.00020859852245251	0.000158241524437677	0.000613105826184657	6.19759691831275e-05	0.0305640999691525	0.00583860196767744	0.0594041206188005	0.00692787494750671	0.0216145033704477	0.0100962415785813	0.0185945128174746	5.17054312138739e-05	6.58999547789965e-05	8.22826962393904e-05	0.0398795628668426	0.000159501430889648	4.21547701483902e-05
"Lactobacillus sp. ESL0785"	6.68483424455684e-05	0.000132740966785527	0.000109265215844154	0.000129018367105008	9.44041290777952e-05	0.000167183531784014	0.000212500019652636	4.2157836063825e-05	6.33444035219488e-05	4.60419783133074e-05	0	6.10096034062486e-05	3.53654495276093e-05	0.000111912345987295	0.000105051096055265	0.000164128588094911	0.000283378337207701	0.000159978669510732	7.44244992693109e-05	9.92441907628685e-05	0.000216848301539059	0.000225484975073962	8.97985337823688e-05	0.000142077880579891	0.000109653203781587	0.000165886093064371	0.000162629329037854	5.48549695554919e-05	0.000208045344638671	0.000154264654551652
"Lactobacillus sp. IBH004"	2.41791876930779e-05	4.36080432400105e-05	1.0745110625798e-05	7.66570168188846e-05	2.99975737256545e-05	0.000141021223375065	7.41454640930623e-05	0.00012072471236459	0	2.57835078554521e-05	2.57927476862388e-05	4.81481194449313e-05	0	0	3.98928212868094e-05	8.1113742378952e-05	2.08673296912887e-05	0.000135261770450071	6.37924279451236e-05	0.000135489895215394	1.8033122789111e-05	0.000276992817419289	4.97099026295256e-05	0.000154151692565929	1.66069836017226e-05	2.04517101038265e-05	0.000103095378229354	0	0.000136385281485351	9.53933376202796e-05
"Lactobacillus sp. PV034"	7.11152579208174e-05	7.66734826197987e-06	2.26065963815491e-05	9.6344884526467e-06	0	2.68004134920939e-05	0.000121311789852008	0.000311712484835555	5.61050431194404e-05	4.00565211325774e-05	5.31027158246093e-05	0.00103254631494575	1.89925562277902e-05	8.45052408475495e-05	2.79249749007666e-05	9.34709140694955e-05	0.000105171341644095	7.39560759295354e-06	1.0897873107292e-05	5.17795777893227e-06	0.000120371094617316	0.000389293177554164	8.65914432901413e-06	1.15122393355248e-05	1.60180834740019e-05	0	3.82372529583049e-05	0	9.4776212557617e-05	1.52629340192447e-05
"Lactobacillus johnsonii"	0.0011392664318915	0.000231937284924891	0.00074364538343997	0.000170488556531618	0.000512605598076626	0.000334367063568028	0.0030533592643311	0.000970428673332821	0.000387305781534201	0.000888610181446832	3.03444090426339e-05	0.000746460742216452	0.000119849578954676	0.000895298767898362	0.000304515202489312	0.000912212751207042	0.00072493103347537	0.000243276565557682	0.000231247551301073	0.000231282114125641	0.000260127796232926	0.000370281699263615	0.000260095038919647	0.000251303761104748	0.000963676169002088	0.00022724122337585	0.000319450467752927	0.000164564908666476	0.00121128622878515	0.00023094272783881
"Lactobacillus amylovorus"	0	0.000997713692590131	3.82358482008917e-05	0.000162110740485838	0.000146458742307607	0.000182498053779496	6.76050669211552e-05	0.000118648758315992	8.14428045282199e-05	0.000121550822747131	0	6.38127473465357e-05	4.91186798994573e-05	0	3.72332998676888e-05	4.62601812004961e-05	9.34856370169735e-05	0.000214861862700545	5.55525726688785e-05	0.000209707290046757	0.000269595185697209	0.00021465285372237	8.49878980440276e-05	0.00018644211997045	5.62988522100951e-05	9.31689015840986e-05	0.000292345579579952	0	0	8.86703785879933e-05
