"","Dominance","Clusters","samples","dysbio"
"H_BP1","Lactobacillus crispatus","cl_2","H_BP1",-0.527670343200884
"H_BP4","Lactobacillus crispatus","cl_2","H_BP4",-0.470680451478706
"H_BP5","Lactobacillus gasseri","cl_4","H_BP5",-0.147687222572074
"H_BP7","Lactobacillus crispatus","cl_2","H_BP7",-0.518088810176475
"H_TT1","Others","cl_1","H_TT1",0.00451823424073657
"H_TT11","Lactobacillus crispatus","cl_2","H_TT11",-0.639533099190454
"H_TT12","Lactobacillus gasseri","cl_4","H_TT12",-0.14515879617751
"H_TT16","Lactobacillus iners","cl_3","H_TT16",-0.387137749765422
"H_TT2","Lactobacillus crispatus","cl_2","H_TT2",-0.653177747538543
"H_TT20","Lactobacillus iners","cl_3","H_TT20",-0.288011789935704
"H_TT21","Lactobacillus iners","cl_3","H_TT21",-0.262513940363189
"H_TT23","Others","cl_1","H_TT23",0.305812692074018
"H_TT24","Lactobacillus iners","cl_3","H_TT24",-0.363149534659424
"H_TT28","Others","cl_1","H_TT28",-0.108387074244283
"H_TT3","Lactobacillus iners","cl_3","H_TT3",-0.384628859907847
"H_TT41","Lactobacillus iners","cl_3","H_TT41",-0.388378571764526
"H_TT5","Lactobacillus crispatus","cl_2","H_TT5",-0.59194300718797
"H_TT51","Lactobacillus iners","cl_3","H_TT51",-0.420076211729944
"H_TT52","Lactobacillus gasseri","cl_4","H_TT52",-0.0707932003233349
"H_TT54","Lactobacillus iners","cl_3","H_TT54",-0.312277165478682
"H_TT55","Lactobacillus crispatus","cl_2","H_TT55",-0.650459271557946
"H_TT56","Others","cl_2","H_TT56",-0.206412108683873
"H_TT60","Lactobacillus crispatus","cl_2","H_TT60",-0.509767013199643
"H_TT62","Lactobacillus crispatus","cl_2","H_TT62",-0.452339464224159
"H_TT65","Lactobacillus crispatus","cl_2","H_TT65",-0.524589437930011
"H_TT69","Lactobacillus crispatus","cl_2","H_TT69",-0.564204914900487
"H_TT7","Lactobacillus crispatus","cl_2","H_TT7",-0.654225363657909
"H_TT71","Lactobacillus crispatus","cl_2","H_TT71",-0.591287819639813
"H_TT74","Lactobacillus iners","cl_3","H_TT74",-0.397838620033637
"H_TT81","Lactobacillus crispatus","cl_2","H_TT81",-0.543206364582041
