"D_AM2"	"D_AM4"	"D_AM7"	"D_AM9"	"D_AM10"	"D_AM11"	"D_AM12"	"D_AM13"	"D_AM16"	"D_AM18"	"D_AM19"	"D_AM21"	"D_AM22"	"D_AM24"	"D_AM25"	"D_AM26"	"D_AM27"	"D_AM28"	"D_AM29"	"D_AM36"	"D_AM37"	"D_AM39"	"D_AM40"	"D_AM41"	"D_AM42"	"D_AM43"	"D_AM44"	"D_AM45"	"D_AM47"	"D_AM48"	"H_TT1"	"H_TT2"	"H_TT3"	"H_TT4"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"D_TT76"	"H_TT81"	"D_TT88"	"H_BP1"	"H_BP3"	"H_BP4"	"H_BP5"	"H_BP7"
"Lactobacillus iners"	0.693789775487981	0.000169132128766148	0.291560889429028	0.444771688544775	0.72515525579922	0.000253286036825981	0.000110216160759866	0.514167684603959	0.716658521310201	0.429606862625523	0.264679776783626	0.00100252095913701	0.912127753583919	0.000231003195544205	0.725648837258333	0.382280373596931	0.116719094703154	0.671679658856507	0.000211924618851895	0.0420776277382914	0.0105774205476581	0.403026935637576	0.139789671591144	0.125666817673326	0.000191576702687491	0.000248577905329368	0.000161061944423825	0.000227582655118887	2.5679788445952e-05	0.00489582147330069	0.00247689106384759	7.05023010652341e-05	0.902962591289584	0.000368913650967019	0.00204904605478702	0.0330399568689791	0.000351754453018718	0.005567241085154	0.812368399502198	0.606716829688202	0.57085942684956	6.62410369922699e-05	0.520774498468654	0.18894948890293	0.902637537069638	0.677851936510593	0.000499247619801885	0.660963837917586	0.00430096483329881	0.00957882104248532	0.0333314617850177	0.00199946428084399	0.167081274191443	0.00205219546193758	0.00137536542447155	0.918885833448716	9.54922903786388e-05	0.000215462636185354	0.623415968291131	0.136363209839936	0.00179030729964329	0.0316715120462854	0.000278279761685235	6.701723127983e-05
"Lactobacillus crispatus"	0.160338965511704	0.198491116343211	0.531276022325749	0.318227351461903	0.0927355010116696	0.607738464075117	0.882054999509236	0.348957934551246	0.15633620210368	0.114123673618734	0.400722158255763	0.476210353520549	0.00175636908970543	0.00101384735822179	0.100156016107609	0.212846700349233	0.519148777057325	0.215687284204073	0.774208902950657	0.664360554580651	0.304729888337674	0.315245337900403	0.494512507356144	0.258338275169354	0.756651344934514	0.835310003308114	0.743688822721219	0.851241035721712	0.198682745374823	0.482049167464174	0.00195275738754	0.856185973938268	0.000580452805743177	0.00181697235181	0.77065486580347	0.867574070767465	0.855431405706501	0.00204721864076071	0.00204667079433657	0.0014929602203152	0.00078909623907375	0.00112609762886859	0.127314854675834	0.0792166585989819	0.00199803194602766	0.187246150908953	0.00224886992594494	0.000665209155549426	0.857770967395176	0.314459133497005	0.587045305302422	0.456771202945986	0.521518830469165	0.65631097413634	0.74032386310432	0.00526341925371312	0.118232871760957	0.637631746424418	0.14301652444785	0.63325773342917	0.00141948574418764	0.514386459802539	0.00543986642571439	0.539209987418146
"Lactobacillus delbrueckii"	0.0015748134518091	0.000674873601867272	0.00270829113496725	0.000892769709160552	0.00155980699165392	0.00100779882509818	0.00112436934148311	0.000692629270183134	0.000799378532865271	0.000750498028214823	0.000735716459080764	0.000541713079674034	0.00100365735090503	0.000898345760449686	0.000473494831087966	0.000516179829514074	0.0019434007307647	0.00118176186376354	0.00399430152510868	0.00281960026421382	0.000911481129357308	0.00113086460602694	0.0016791116070405	0.000569246679284308	0.00110057512647365	0.000521563006801347	0.0028472950696838	0.000947505476490984	0.000233686074858164	0.00113548593566811	0.0115923730054165	0.00110391760878459	0.000715297095855066	0.00108204988177334	0.00144550311166058	0.00127503480125579	0.00164317804555034	0.000850041973731212	0.000974324486967441	0.00268268878655971	0.000509157762631044	5.06111293873523e-05	0.000902510424226024	0.000575207450352946	0.00131828139274668	0.00112066282563951	0.00125263032317762	0.000804408964983965	0.00181420008204906	0.000851519684682428	0.00178366691647768	0.00198049917248911	0.00175621489268582	0.000717060210349307	0.0019434276098249	0.000429864795311798	0.000145211416774128	0.00072219883610276	0.000546388873202678	0.00215304898761187	0.000233935084661437	0.00102184738493423	0.000251457615980634	0.000953243003078587
"Lactobacillus acidophilus"	0.0115880816119714	0.00782591901880859	0.0146217338464655	0.0087561263787864	0.017255122538783	0.0239363528373176	0.0277314278914881	0.0218555161207107	0.0135214191032364	0.00710655771028987	0.0162645888632498	0.00542768364894178	0.0369578086118129	0.00356771602007161	0.012662253238037	0.0147692346351431	0.0157648437177918	0.00789743288199761	0.0248305441971245	0.0199099673624141	0.00705553911243249	0.0113584471513354	0.0129315286259104	0.00647303474517956	0.0110889880390077	0.0132553604773897	0.0150978066164247	0.0195443027568631	0.00264699357827506	0.011711814284967	0.00240369533847795	0.00961799812426773	0.0269638791562814	0.00143498695730478	0.0193078479529671	0.0101526054569063	0.0178220184615155	0.0141106967639381	0.0210056728577579	0.0138061537798737	0.0101001959569335	0.00149302831692689	0.0111122556918119	0.00334347028690165	0.0108220484998647	0.00723527119517317	0.0103177841425723	0.0137420633062296	0.0144902237647564	0.0110158350690592	0.0157088001015518	0.0126616481979625	0.0135410323521504	0.0088565524397224	0.0140675904691127	0.0296038852579977	0.00145527093767116	0.0117486987453291	0.0138688147787507	0.0190316581245343	0.00401254083754751	0.00947007858150312	0.0113675606264312	0.0122534978648422
"Lactobacillus jensenii"	0.000220640404313133	0.0195999644524645	0.0498722796120001	0.0392792585255594	0.00815126767837122	0.0946130253989152	0.000147503220121413	0.035480758923786	0.00386315342603628	5.97633857787535e-05	0.214036734322802	0.0770991381837369	0.000118092052755123	0.665604907534554	0.0739943286036558	0.315769084388073	0.190678579543766	0.000123864926689186	0.038091707862042	4.69653821522826e-05	0.180466982950357	0.183573996402504	0.0111324258844569	0.000556039099718546	0.000659288100972813	0.0154520081302248	4.48172367092384e-05	4.77530670767386e-05	0.0066919553321809	0.014696696012875	9.01875901875902e-05	0.000106681113453973	7.17786528903286e-05	5.8096637947562e-05	0.000152365975177767	2.94705528502359e-05	9.7571464883284e-05	0.000162452466090854	0.0320385560765464	0.000344656743424596	6.05484906912593e-05	0.131404354641115	0.0556530669979459	0.018445437200772	0.000205349119734275	0.000155611290841426	0.000484961919837674	5.47580707312028e-05	0.0300918079515539	0.00524081854685744	0.0560121862206848	0.00555117752551575	0.0201282277731047	0.0091651532610664	0.0179222401622942	5.12940052030115e-05	7.1027323422128e-06	5.78557078645857e-05	0.0806534078335071	7.97599319882368e-05	0.000125803758716778	0.0376673095190121	0.000115670503351092	3.25271917508798e-05
"Lactobacillus sp. ESL0785"	9.57496094189069e-05	6.98373369269222e-05	0.000104933270317107	5.33775550992823e-05	4.94305032566382e-05	0.000150491379023229	0.000138181455281027	0.000175513199417155	5.38778074254318e-05	5.00060983046713e-05	0.000143990221277235	3.6348713138301e-05	2.5895185296939e-05	4.10672347634142e-05	5.3586613536857e-05	0.000102607755156956	0.000128473457287849	8.80276023942812e-05	0.000177851476722236	0.000108691312980997	7.69381142782224e-05	0.000115217778483059	7.48989246654387e-05	1.51887165006254e-05	8.05943369926686e-05	9.3873831317737e-05	0.000158260867129498	0.000105782110613028	3.1605893471941e-05	0.000101547522702026	6.1432126649518e-05	0.000128481167072828	0.000108290337597548	0.000180099577637442	0.0001215769957377	9.27455633816246e-05	0.000162826266238347	0.000185010745844623	4.09458237120987e-05	5.79951250954848e-05	3.9317201747571e-05	0	5.68873691590509e-05	3.32561052666585e-05	0.000110169053288097	0.000103304974592207	0.000129824431253703	0.000250375286373648	0.000157506597744437	6.68045703869655e-05	9.35774157823601e-05	0.000173756516546696	0.000209979977791529	8.15171980908672e-05	0.000136941146159504	0.000108780680738049	2.28865819915746e-05	0.000145636781866026	4.27343252784218e-05	0.000157643159694397	3.0552341402646e-05	5.18119800811721e-05	0.000150874569588381	0.000119032697398694
"Lactobacillus sp. IBH004"	9.5154891347982e-06	5.26262396747897e-05	7.45504467400356e-05	4.27421775795005e-05	2.77036970866453e-05	4.27625776459448e-05	4.13996026734822e-05	3.88720508776249e-05	2.90405203144171e-05	2.15473431719315e-05	2.46990525548542e-05	3.51761740048074e-05	1.96403096213498e-05	7.18676608359749e-05	2.81110103799906e-05	4.55452790747712e-05	7.67005715151335e-05	3.60112918885696e-05	0.000130097451767789	8.35312868279883e-05	7.92933626744945e-05	9.17943839562831e-05	8.8655870012152e-05	0.000122170110983291	1.58546236706889e-05	3.83005231776367e-05	8.96344734184767e-05	3.29435715909146e-05	1.85684624147653e-05	4.308076720692e-05	2.22201309157831e-05	4.22086144535283e-05	1.06492413729389e-05	0	7.22356825324646e-05	2.94705528502359e-05	0.000137345819994941	6.45539122079935e-05	0.00011725394972101	0	2.20176329786398e-05	2.53055646936761e-05	4.48948967417375e-05	0	0	3.9229737186914e-05	6.41603366813667e-05	1.84370608522568e-05	0.000133171636779055	5.72610603316847e-05	0.000127753515459396	1.44496063656296e-05	0.000257945992326261	4.51255918003015e-05	0.0001485784372363	1.64748399399194e-05	2.13081970266384e-05	1.79552196821128e-05	2.89982921532148e-05	9.99345030205555e-05	2.12668258783124e-05	0	9.89066622857162e-05	7.36067916776376e-05
"Lactobacillus sp. PV034"	5.35246263832399e-06	4.63375695249721e-06	0.000805426147232912	1.30433875242607e-05	5.00766536260061e-05	1.11018230426972e-05	9.04759528625769e-06	2.47367596493977e-05	0.000116926305476469	1.05703947635891e-05	0.00154605558758258	2.69684000703523e-05	5.89209288640495e-05	0.00799784397017492	2.28401959337423e-05	0.00229139869552039	1.34226000151484e-05	3.42716159519237e-05	0.000671137648008438	1.24122795688175e-05	1.33464075788753e-05	0.00159490104354388	1.83425937956176e-05	5.94341080459254e-06	1.45334050314648e-05	2.62846727689664e-06	2.94113115904377e-05	5.74245743327869e-06	3.1605893471941e-06	7.69299414409286e-05	6.53533262228914e-05	7.42129484897201e-06	2.24048974339754e-05	0.00016848025004793	9.07880162976331e-06	0	2.6101920542025e-05	0.000105618741856844	0.000302750938962185	5.1367110798858e-05	3.42059655203868e-05	5.2099692016392e-05	0.000962780285605343	1.78597602357981e-05	8.31888769726444e-05	2.74608160308398e-05	7.39347629726687e-05	9.29227866953744e-05	7.28132690302748e-06	9.7820978066628e-06	4.88229995386227e-06	9.64511224905775e-05	0.000362524255775376	7.8605869587622e-06	1.10960217243867e-05	1.58906257576528e-05	0	0	1.83147108336093e-05	3.70649095710042e-05	3.83401931327322e-05	0	6.87317483680401e-05	1.1777086668422e-05
"Lactobacillus johnsonii"	0.000332447401647012	7.96013247911127e-05	0.000333367092026197	0.000273509803008728	0.00046934747454955	0.00019572102845644	0.000233318290563797	0.000207317604680666	0.00156780598486912	0.000348823027198439	0.000208628167325045	7.15248871431084e-05	0.000553306302262614	0.000130901810808383	0.000369835480311751	0.000188986732712556	0.000255029400287819	0.000406214331206811	0.000301237552009941	0.000302591247866849	9.65651842471566e-05	0.00047078912783096	0.000182661663214692	8.12266143294314e-05	0.000288025663350848	0.000298143288265133	0.000303916886434523	0.000419199392629344	9.22497015712277e-05	0.000209249440719326	0.00104696028609072	0.000224494169181403	0.000737010484108981	0.000598395370859888	0.000160655315796246	0.00050359974135256	0.000325652532476693	0.00265837281214801	0.000942529434463728	0.000354598764869536	0.00075882199372812	2.97712525807955e-05	0.000696024649143307	0.000112701245625898	0.000881352426304773	0.000299453660526777	0.000721553161350214	0.000640503494007402	0.00023951733233643	0.000207571343702357	0.000218076064605848	0.000208435571824207	0.000344820061569423	0.00023610874161319	0.000242218035203076	0.000956008087861139	6.15570136325109e-05	0.000199502440912365	0.000303718954657355	0.000309656206542566	0.000507108960732154	0.000155435940243516	0.000878425271825683	0.000178198537566243
"Lactobacillus amylovorus"	6.06612432343385e-05	5.74254879470189e-05	0.000138410640739991	4.6554860086592e-05	3.39228943918106e-05	0.000881155806685189	0.000187257805470121	0.000104836743276019	0.000200608857435118	6.99272268975891e-05	0.000124020774530757	0.000106701061147916	8.15635788096821e-05	5.64674477996946e-05	8.3454562065597e-05	0.000123024604397371	0.000522522643446847	9.11590190802438e-05	0.000246514020710792	0.000610549967979673	0.0010975457526628	0.000248372390612748	0.000453979196441537	2.04717483269299e-05	0.000173079641738354	0.000129170391893206	0.000144255480657861	0.00196512938058832	0.000116941805846182	0	0	0.000965695992222483	3.78947030673411e-05	4.79297263067386e-05	0.000152760705683409	0.000143885640386446	0.000177741649405218	5.88595891633528e-05	0.000115237678098823	7.45651608370519e-05	0.000103797412613587	0	5.95011131474398e-05	4.61890350925813e-05	0	3.66144213744531e-05	3.6591442013592e-05	8.25980326181106e-05	0.000211541707919535	4.98648400388421e-05	0.000197733148131422	0.000216021615166162	0.000199892704348603	7.71502053359993e-05	0.000179701424999824	5.58508758246913e-05	3.63028541935321e-05	8.17960007740695e-05	0.000170937301113687	0.0002833823465935	4.49299138274206e-06	0	0	6.84192654070231e-05
