"H_TT1"	"H_TT2"	"H_TT3"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"H_TT81"	"H_BP1"	"H_BP4"	"H_BP5"	"H_BP7"
"Lactobacillus iners"	1895	152	6528927	5191	38118	566	101679	5237781	366153	1451933	89	3387159	306809	1204401	518371	1992	3584974	22446	40148	40962	11070	811615	7049	5082	7864289	108	290644	11003	166	478
"Lactobacillus crispatus"	1494	1845901	4197	1952357	1000915	1376455	37390	13196	901	2007	1513	828066	128629	2666	143192	8973	3608	4476560	1318002	721437	2528906	2533333	2254335	2735510	45047	319611	1349723	178703	3245	3845912
"Lactobacillus delbrueckii"	8869	2380	5172	3662	1471	2644	15525	6282	1619	1295	68	5870	934	1759	857	4998	4363	9468	3569	2192	10965	8531	2463	7181	3679	362	4589	355	150	6799
"Lactobacillus acidophilus"	1839	20736	194964	48914	11713	28677	257715	135435	8332	25689	2006	72275	5429	14440	5533	41168	74535	75622	46171	19305	70101	65777	30421	51980	253365	5889	40564	3290	6781	87398
"Lactobacillus jensenii"	69	230	519	386	34	157	2967	206570	208	154	176552	361972	29951	274	119	1935	297	157044	21966	68835	30734	97775	31481	66223	439	29	170	13086	69	232
"Lactobacillus johnsonii"	801	484	5329	407	581	524	48552	6077	214	1930	40	4527	183	1176	229	2879	3474	1250	870	268	1154	1675	811	895	8182	100	660	54	524	1271
"Lactobacillus gasseri"	213136	584	102965	170	127	173	10921019	2492	304	6912	342	137762	1113	568	76	1449791	1332	720	424	214	2218	1093	514	755	1295	36	1326	1966	238790	497
"Lactobacillus kefiranofaciens"	22	3018	250	2405	646	1241	1843	1112	0	89	0	4700	0	303	896	262	420	4911	576	2519	9725	2066	343	5464	328	54	11839	57	0	2155
"Limosilactobacillus portuensis"	0	0	0	0	0	0	0	10095	0	0	0	19038	0	0	0	0	0	24	3202	0	10	0	2743	20720	0	0	0	0	0	63
"Limosilactobacillus reuteri"	28	493	532	266	44	214	2641	679	48	1062	20	1031	93	62	417	8212	212	1747	539	541	673	403	598	1238	2258	103	400	237	605	8408
