"D_AM2"	"D_AM4"	"D_AM7"	"D_AM9"	"D_AM10"	"D_AM11"	"D_AM12"	"D_AM13"	"D_AM16"	"D_AM18"	"D_AM19"	"D_AM21"	"D_AM22"	"D_AM24"	"D_AM25"	"D_AM26"	"D_AM27"	"D_AM28"	"D_AM29"	"D_AM36"	"D_AM37"	"D_AM39"	"D_AM40"	"D_AM41"	"D_AM42"	"D_AM43"	"D_AM44"	"D_AM45"	"D_AM47"	"D_AM48"	"H_TT1"	"H_TT2"	"H_TT3"	"H_TT4"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"D_TT76"	"H_TT81"	"D_TT88"	"H_BP1"	"H_BP3"	"H_BP4"	"H_BP5"	"H_BP7"
"Lactobacillus iners"	1166586	1022	1036394	2216461	8978161	616	402	436497	1875519	1056704	503661	855	7291334	90	826038	730227	121740	3860947	821	125430	13473	1909885	182905	190295	145	662	115	753	130	1591	1895	152	6528927	254	5191	38118	566	101679	5237781	1451933	366153	89	3387159	306809	1204401	518371	1992	3584974	22446	40148	40962	11070	811615	7049	5082	7864289	121	108	408469	290644	5977	11003	166	478
"Lactobacillus crispatus"	269605	1199405	1888495	1585844	1148160	1478040	3217188	296244	409137	280710	762537	406136	14040	395	114012	406577	541481	1239813	2999300	1980405	388150	1493901	647035	391197	572692	2224555	531002	2816491	1005801	156652	1494	1845901	4197	1251	1952357	1000915	1376455	37390	13196	2007	901	1513	828066	128629	2666	143192	8973	3608	4476560	1318002	721437	2528906	2533333	2254335	2735510	45047	149815	319611	93706	1349723	4739	178703	3245	3845912
"Lactobacillus delbrueckii"	2648	4078	9627	4449	19312	2451	4101	588	2092	1846	1400	462	8023	350	539	986	2027	6793	15474	8405	1161	5359	2197	862	833	1389	2033	3135	1183	369	8869	2380	5172	745	3662	1471	2644	15525	6282	1295	1619	68	5870	934	1759	857	4998	4363	9468	3569	2192	10965	8531	2463	7181	3679	184	362	358	4589	781	355	150	6799
"Lactobacillus acidophilus"	19485	47289	51975	43635	213636	58214	101147	18554	35386	17480	30950	4629	295432	1390	14414	28212	16443	45396	96194	59350	8987	53826	16920	9802	8393	35301	10780	64666	13400	3806	1839	20736	194964	988	48914	11713	28677	257715	135435	25689	8332	2006	72275	5429	14440	5533	41168	74535	75622	46171	19305	70101	65777	30421	51980	253365	1844	5889	9087	40564	13396	3290	6781	87398
"Lactobacillus jensenii"	371	118435	177278	195743	100921	230102	538	30121	10110	147	407292	65754	944	259323	84231	603178	198881	712	147568	140	229870	869930	14566	842	499	41151	32	158	33877	4776	69	230	519	40	386	34	157	2967	206570	154	208	176552	361972	29951	274	119	1935	297	157044	21966	68835	30734	97775	31481	66223	439	9	29	52845	170	420	13086	69	232
"Lactobacillus sp. ESL0785"	161	422	373	266	612	366	504	149	141	123	274	31	207	16	61	196	134	506	689	324	98	546	98	23	61	250	113	350	160	33	47	277	783	124	308	107	262	3379	264	100	35	0	370	54	147	79	518	1358	822	280	115	962	1020	280	506	931	29	73	28	336	102	18	90	849
"Lactobacillus sp. IBH004"	16	318	265	213	343	104	151	33	76	53	47	30	157	28	32	87	80	207	504	249	101	435	116	185	12	102	64	109	94	14	17	91	77	0	183	34	221	1179	756	56	0	34	292	0	0	30	256	100	695	240	157	80	1253	155	549	141	27	9	19	213	71	0	59	525
"Lactobacillus sp. PV034"	9	28	2863	65	620	27	33	21	306	26	2942	23	471	3116	26	4377	14	197	2600	37	17	7558	24	9	11	7	21	19	16	25	50	16	162	116	23	0	42	1929	1952	87	31	70	6262	29	111	21	295	504	38	41	6	534	1761	27	41	136	0	0	12	79	128	0	41	84
"Lactobacillus johnsonii"	559	481	1185	1363	5811	476	851	176	4103	858	397	61	4423	51	421	361	266	2335	1167	902	123	2231	239	123	218	794	217	1387	467	68	801	484	5329	412	407	581	524	48552	6077	1930	214	40	4527	183	1176	229	2879	3474	1250	870	268	1154	1675	811	895	8182	78	100	199	660	1693	54	524	1271
"Lactobacillus amylovorus"	102	347	492	232	420	2143	683	89	525	172	236	91	652	22	95	235	545	524	955	1820	1398	1177	594	31	131	344	103	6502	592	0	0	2082	274	33	387	166	286	1075	743	264	45	0	387	75	0	28	146	448	1104	209	243	1196	971	265	664	478	46	41	112	604	15	0	0	488
