"Vulvar"	"Anal"	"Vaginal"
"[Clostridium] innocuum"	0	0.00139715516597958	0
"[Ruminococcus] gnavus"	0.00111633432610091	0.0014392419338162	0
"[Ruminococcus] torques"	0	0.00253813096344862	0
"Actinotignum schaalii"	0	0	0.000703860414606125
"Actinotignum urinale"	0	0	0.00020646823691252
"Aerococcus christensenii"	0.00122971411541461	0	0.00139285917435622
"Akkermansia muciniphila"	0.002235824591467	0.0074345911416863	0
"Alistipes onderdonkii"	0.00113556132173076	0.00406332736257354	0
"Alistipes shahii"	0	0.00202785205988788	0
"Anaerobutyricum hallii"	0.0014154928891259	0.00556270179024565	0
"Anaerococcus obesiensis"	0.0108191899860307	0.0282192433682328	0
"Anaerococcus vaginalis"	0.0073436414736465	0.0231298859403499	0
"Anaerostipes hadrus"	0.00122368253309882	0.00482244354634314	0
"Ascochyta rabiei"	0.00111954253599177	0	0
"Bacillus amyloliquefaciens"	0.00284241934542539	0	0
"Bacillus anthracis"	0.00223888918369122	0	0.000215047318607579
"Bacillus cereus"	0.00215010087631452	0	0.000228775244621982
"Bacillus spizizenii"	0.00660135785340822	0	0
"Bacillus velezensis"	0	0	6.49484997042573e-05
"Bacteroides cellulosilyticus"	0	0.00188207810052232	0
"Bacteroides faecium"	0	0.00211452346628372	0
"Bacteroides fragilis"	0.00117870311148035	0.00424245733848204	0
"Bacteroides ovatus"	0	0.00363148592195777	0
"Bacteroides stercoris"	0	0.00266562871827805	0
"Bacteroides thetaiotaomicron"	0.00112016454626601	0.00395067817893421	0
"Bacteroides xylanisolvens"	0	0.00297517813123759	0
"Bifidobacterium dentium"	0	0	0.000103881586978396
"Blautia massiliensis (ex Durand et al. 2017)"	0	0.00300702238608572	0
"Blautia sp. SC05B48"	0	0.00178086895824369	0
"Bulleidia sp. zg-1006"	0	0	7.01016885153129e-05
"Campylobacter hominis"	0.00337637327144247	0.0100318866735782	0
"Campylobacter ureolyticus"	0.00944714198032052	0.0118079470539937	0.00137896865425255
"Candida albicans"	0	0	6.53936502390258e-05
"Catenibacterium sp. co_0103"	0	0.00154352581952324	0
"Clostridioides difficile"	0.00515751082659649	0.00164237787745065	0.000310729206685005
"Coprococcus catus"	0	0.00301348033656017	0
"Coprococcus comes"	0.00128127610894634	0.00505034976968339	0
"Corynebacterium afermentans"	0.00309914253070849	0.00186259532490158	0
"Corynebacterium amycolatum"	0.00688009644900837	0.00841526487501796	0
"Corynebacterium atypicum"	0.00289598639822751	0.00339740199550415	0
